DATE,Hour of Day,Day of Week,Outdoor Drybulb,Outdoor Dewpoint,Relative Humidity,Electric Demand (kW),Optimal (kW)
1/1/2016 0:00,0,5,8.96,5,0.84,96.124,106.82
1/1/2016 1:00,1,5,5,1.04,0.83,87.276,97.13
1/1/2016 2:00,2,5,3.92,-0.04,0.83,86.304,86.85
1/1/2016 3:00,3,5,3.92,-0.94,0.8,84.428,77.64
1/1/2016 4:00,4,5,3.02,-0.94,0.83,86.572,72.4
1/1/2016 5:00,5,5,3.02,-2.02,0.79,88.96,74.22
1/1/2016 6:00,6,5,3.92,-0.94,0.8,90.884,81.32
1/1/2016 7:00,7,5,5,1.04,0.83,105.164,95.42
1/1/2016 8:00,8,5,5,1.04,0.83,118.588,115.22
1/1/2016 9:00,9,5,6.08,1.04,0.79,130.868,128.9
1/1/2016 10:00,10,5,6.98,-0.04,0.72,133.472,133.37
1/1/2016 11:00,11,5,8.96,1.04,0.69,134.94,134.86
1/1/2016 12:00,12,5,10.94,1.94,0.66,122.168,135.68
1/1/2016 13:00,13,5,15.08,3.02,0.58,126.592,137.17
1/1/2016 14:00,14,5,15.08,3.02,0.58,129.348,137.81
1/1/2016 15:00,15,5,15.08,1.94,0.55,128.248,139.51
1/1/2016 16:00,16,5,15.08,-0.94,0.48,125.68,140.22
1/1/2016 17:00,17,5,14,-2.02,0.48,124.372,137.83
1/1/2016 18:00,18,5,12.92,-5.98,0.42,125.648,130.79
1/1/2016 19:00,19,5,8.06,-7.96,0.47,122.516,119.41
1/1/2016 20:00,20,5,8.06,-7.96,0.47,116.416,106.07
1/1/2016 21:00,21,5,6.98,-11.02,0.42,127.184,96.63
1/1/2016 22:00,22,5,6.08,-11.92,0.42,94.964,91.54
1/1/2016 23:00,23,5,5,-11.02,0.46,87.244,89.59
1/2/2016 0:00,0,6,3.02,-9.94,0.54,87.448,87.15
1/2/2016 1:00,1,6,1.94,-9.04,0.59,87.164,80.79
1/2/2016 2:00,2,6,1.94,-9.04,0.59,85.472,74.69
1/2/2016 3:00,3,6,1.04,-7.96,0.65,73.412,69.64
1/2/2016 4:00,4,6,-0.04,-7.06,0.71,73.228,66.05
1/2/2016 5:00,5,6,-2.02,-7.96,0.75,73.076,63.64
1/2/2016 6:00,6,6,-0.94,-7.06,0.74,73.092,63.96
1/2/2016 7:00,7,6,-0.94,-7.06,0.74,73.288,64.69
1/2/2016 8:00,8,6,-0.94,-7.06,0.74,67.588,66.57
1/2/2016 9:00,9,6,1.04,-9.04,0.62,69.744,73.19
1/2/2016 10:00,10,6,3.92,-7.06,0.59,69.876,77.59
1/2/2016 11:00,11,6,8.96,-5.98,0.5,79.304,84.45
1/2/2016 12:00,12,6,15.98,-7.06,0.35,83.08,90.61
1/2/2016 13:00,13,6,23,5,0.45,82.056,81.93
1/2/2016 14:00,14,6,23,5,0.45,81.124,77.99
1/2/2016 15:00,15,6,24.98,12.02,0.57,81.092,74.6
1/2/2016 16:00,16,6,26.96,12.92,0.55,81.512,73.95
1/2/2016 17:00,17,6,28.04,15.98,0.6,68.072,71.77
1/2/2016 18:00,18,6,24.98,17.06,0.71,75.268,68.06
1/2/2016 19:00,19,6,24.08,17.06,0.74,83.436,67.04
1/2/2016 20:00,20,6,24.08,17.06,0.74,82.728,66.82
1/2/2016 21:00,21,6,24.98,17.06,0.71,82.44,67.83
1/2/2016 22:00,22,6,24.98,17.06,0.71,83.192,68.59
1/2/2016 23:00,23,6,24.08,17.96,0.77,81.844,69.02
1/3/2016 0:00,0,7,24.08,19.04,0.81,81.172,71.41
1/3/2016 1:00,1,7,19.04,15.08,0.84,69.728,67.2
1/3/2016 2:00,2,7,17.6,15.8,0.92,67.476,63.64
1/3/2016 3:00,3,7,19.04,15.08,0.84,66.452,64.71
1/3/2016 4:00,4,7,15.98,14,0.92,74.488,60.89
1/3/2016 5:00,5,7,17.96,15.98,0.92,78.772,61.08
1/3/2016 6:00,6,7,15.08,10.94,0.83,80.1,62.33
1/3/2016 7:00,7,7,17.96,14,0.84,79.812,62.46
1/3/2016 8:00,8,7,17.96,14,0.84,75.088,62.49
1/3/2016 9:00,9,7,15.08,12.92,0.91,75.36,59.98
1/3/2016 10:00,10,7,17.96,15.08,0.88,76.716,62.91
1/3/2016 11:00,11,7,24.08,21.02,0.88,76.62,65.14
1/3/2016 12:00,12,7,30.02,23,0.75,77.148,71.63
1/3/2016 13:00,13,7,35.06,30.92,0.85,77.32,66.55
1/3/2016 14:00,14,7,35.06,30.92,0.85,73.6,66.01
1/3/2016 15:00,15,7,33.98,33.08,0.96,64.492,62.02
1/3/2016 16:00,16,7,33.98,33.08,0.96,68.244,62.03
1/3/2016 17:00,17,7,33.98,33.08,0.96,81.012,61.41
1/3/2016 18:00,18,7,33.98,33.08,0.96,82.612,61.05
